slot_utc,count,min_seconds,p25_seconds,p50_seconds,p75_seconds,p95_seconds,p99_seconds,max_seconds,within_1m_percent,within_15m_percent,within_30m_percent,within_1h_percent,over_1h_percent,finalized_expected_count,finalized_observed_count,missing_count,missing_percent
1420,41,1255,2870,11388,12993,20907,34096,34096,0.00,0.00,12.20,34.15,65.85,40,40,0,0.00
1425,41,1230,2875,11284,12856,20974,33962,33962,0.00,0.00,12.20,29.27,70.73,40,40,0,0.00
1430,41,854,2506,10946,12461,20623,33621,33621,0.00,4.88,17.07,34.15,65.85,40,40,0,0.00
1435,41,1020,2945,10960,12467,20693,33618,33618,0.00,0.00,17.07,34.15,65.85,40,40,0,0.00
1440,41,878,2718,10722,12225,20461,33421,33421,0.00,2.44,21.95,34.15,65.85,40,40,0,0.00
1445,41,786,2520,10527,12038,20300,33309,33309,0.00,9.76,19.51,34.15,65.85,40,40,0,0.00
1450,41,644,2299,10345,11855,20096,33160,33160,0.00,12.20,21.95,34.15,65.85,40,40,0,0.00
1455,41,446,2057,10176,11630,19812,33045,33045,0.00,9.76,24.39,34.15,65.85,40,40,0,0.00
1500,41,982,2309,10543,12192,20254,33180,33180,0.00,0.00,21.95,34.15,65.85,40,40,0,0.00
1505,41,1523,2899,11116,12523,20465,33401,33401,0.00,0.00,12.20,29.27,70.73,40,40,0,0.00
1510,41,1384,2818,10864,12426,20310,33215,33215,0.00,0.00,12.20,34.15,65.85,40,40,0,0.00
1515,41,1085,2503,10563,12125,20005,32911,32911,0.00,0.00,17.07,34.15,65.85,40,40,0,0.00
1520,41,1164,2645,10467,12414,19944,32805,32805,0.00,0.00,12.20,34.15,65.85,40,40,0,0.00
1525,41,873,2361,10169,12152,19657,32524,32524,0.00,2.44,21.95,34.15,65.85,40,40,0,0.00
1530,41,745,2224,9973,12006,19494,32304,32304,0.00,9.76,21.95,34.15,65.85,40,40,0,0.00
1535,41,949,2131,9844,12036,19627,32345,32345,0.00,0.00,21.95,34.15,65.85,40,40,0,0.00
1540,41,942,2268,9607,11791,19515,32151,32151,0.00,0.00,21.95,36.59,63.41,40,40,0,0.00
1545,41,817,2060,9366,11585,19278,31926,31926,0.00,7.32,21.95,36.59,63.41,40,40,0,0.00
1550,41,443,1717,9041,11241,18958,31592,31592,0.00,19.51,26.83,36.59,63.41,40,40,0,0.00
1555,41,729,1560,8829,11034,18799,31408,31408,0.00,9.76,26.83,36.59,63.41,40,40,0,0.00
1600,41,1979,2845,9770,12090,19490,31787,31787,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1605,41,1530,2376,9361,11684,19119,31413,31413,0.00,0.00,12.20,36.59,63.41,40,40,0,0.00
1610,41,1652,2584,9332,11590,19046,31267,31267,0.00,0.00,9.76,36.59,63.41,40,40,0,0.00
1615,41,1367,2319,9047,11307,18745,30994,30994,0.00,0.00,14.63,36.59,63.41,40,40,0,0.00
1620,41,1467,2376,9155,11159,18625,31146,31146,0.00,0.00,12.20,34.15,65.85,40,40,0,0.00
1625,41,1137,2086,8848,10858,18321,30845,30845,0.00,0.00,17.07,34.15,65.85,40,40,0,0.00
1630,41,1218,2119,8868,10696,18189,30787,30787,0.00,0.00,17.07,34.15,65.85,40,40,0,0.00
1635,41,986,1877,8621,10458,17978,30542,30542,0.00,0.00,21.95,34.15,65.85,40,40,0,0.00
1640,41,977,1777,8513,10367,17803,30379,30379,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
1645,41,1000,1940,8366,10319,17631,30297,30297,0.00,0.00,21.95,34.15,65.85,40,40,0,0.00
